nombre,fecha_evaluacion,genero,fecha_nacimiento,masa_kg,estatura_cm,envergadura_cm,longitud_pie_cm,triceps_mm,subescapular_mm,biceps_mm,cresta_iliaca_mm,supraespinal_mm,abdominal_mm,muslo_fron_abc_mm,pantorrilla_medial_mm,cefalico_cm,brazo_relajado_cm,brazo_contraido_90_cm,antebrazo_cm,muneca_cm,torax_mesoesternal_cm,cintura_cm,cadera_max_cm,muslo_1cm_cm,muslo_medio_cm,pantorrilla_maxima_cm,tobillo_minimo_cm,biacromial_cm,biiliocrestal_cm,biestiloideo_cm,humero_cm,femur_rodilla_cm,wells1,wells2,hombros1,hombros2,abdominales_60s,lagartijas_60s,reaccion1_tiempo_seg,reaccion2_tiempo_seg,aceleracion1_tiempo_seg,aceleracion2_tiempo_seg,cmj_tiempo1_seg,cmj_altura1_pulg,cmj_tiempo2_seg,cmj_altura2_pulg,sj_tiempo1_seg,sj_altura1_pulg,sj_tiempo2_seg,sj_altura2_pulg,dj_tiempo1_seg,dj_altura1_pulg,dj_tiempo2_seg,dj_altura2_pulg,tiempo_tierrau15_seg,indice_potencia_explosiva_u15,xsal_u15_pulg,tiempo_tierrap15_seg,indice_potencia_explosiva_p15,xsal_p15_pulg,factor_fatiga,Desempeño
1,25/3/2014,Femenino,27/5/2000,"65,5","166,8",167,"25,1","16,8",11,"7,6","25,6","16,8","19,8","20,8",16,55,"26,5","27,7","24,4","16,1","85,1","71,7","95,9","59,6","54,7","39,7","25,2",35,"28,1","5,7","6,6","9,7",9,10,7,7,44,4,"0,41","0,32","2,07","1,71","0,54",14,"0,57","15,9","0,53","13,6","0,55","14,6","0,53","13,7","0,48","11,1","0,38","1,2","10,3","0,41","1,19","11,4",1,0
2,18/2/2015,Masculino,21/12/1991,"62,7","170,5",168,0,"7,7","9,5","3,6","25,7","9,5","21,4","9,1","5,8","35,2","28,7","31,1","26,1",16,94,"75,7","90,3","54,8","49,2","36,7","21,5","38,3","25,6","5,2","6,5","9,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,25/3/2014,Masculino,8/2/1999,"64,2",179,"182,2",26,"6,8","7,4","3,2","7,6","5,6","8,2","8,2","5,2","54,1","28,2","30,6","27,4","18,2","88,7","73,2","90,9","52,4","48,9","36,1","21,1",41,"26,3","5,7","7,2","9,7",-4,1,9,9,54,26,"0,26","0,35","1,89","1,73","0,64","19,7","0,62","18,9","0,62","18,9","0,61","18,5","0,62","18,8","0,57","15,9","0,27","1,74","10,9","0,36","1,42","12,9","1,22",0
4,18/2/2015,Masculino,13/6/1997,"63,8","167,3","171,8",0,"13,7","9,8","4,2","33,3","13,5","22,5","15,3","14,2","54,5","29,2","33,1","24,8","15,8","93,8",75,94,57,"55,4","34,5",21,"40,3","27,7","5,5","7,1","9,5",11,12,0,0,52,30,"0,23","0,27","1,76","1,73","0,6","17,3","0,61","17,9","0,58","16,7","0,59","17,3","0,58","16,7","0,6","17,7","0,25","17,5","9,4","0,26","1,84","11,1","0,95",1
5,18/3/2015,Masculino,23/1/1991,85,177,"178,4",0,"15,2","12,2","5,6","16,4","15,6","4,3","14,3","7,7","59,5",35,38,28,18,99,90,107,65,51,41,26,0,0,0,0,0,22,23,0,0,76,43,"0,28","0,23","1,62","1,63","0,69","23,2","0,7","23,6","0,68","22,8","0,68","22,8","0,67","21,9","0,67",22,"0,35","1,47","12,9","0,37","1,63",18,"0,9",2
7,27/2/2015,Masculino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,56,25,"0,35","0,19","1,8","1,63","0,64","20,3","0,68","22,8","0,69","23,6","0,68","22,4","0,66","21,3","0,62",19,"0,29","1,63","10,7","0,3","1,72","13,3","0,94",1
8,25/3/2014,Masculino,9/8/2000,"54,5","164,2",165,"25,6","8,8","11,6","5,4","15,2","11,2","14,6","10,8","11,4","56,7","23,4","25,4","23,4",16,"84,2","71,6","87,1",51,"46,4","33,7",21,"34,9","27,8","5,3","6,5","9,7",-6,-12,10,10,58,24,"0,35","0,24","1,73","1,73","0,52","13,1","0,49","11,9","0,48","11,5","0,49",12,"0,5","12,4","0,54","14,1","0,37","1,19","9,3","0,35","1,24","8,9","0,95",0
9,26/3/2014,Masculino,15/6/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22,-20,1,0,32,39,"0,25","0,22","1,66","1,44","0,68","22,5","0,64","20,2","0,62","18,9","0,64","19,8","0,63","19,1","0,66",21,"0,27","1,88","12,5","0,28","1,77","11,7","1,06",0
10,27/2/2015,Masculino,26/3/1995,"77,5","171,1","178,5",0,"13,9","12,4","7,2",34,"16,1","27,3","16,6","15,2","55,7","34,3","33,5","28,5","17,2",94,"85,8","103,1","62,1","55,9","39,7","22,4","41,2","29,5","5,1","7,7",10,20,19,0,0,43,18,"0,265","0,315",1.785,1.895,"0,66","21,2","0,63","19,4","0,645","20,1","0,61",18,"0,62","18,9","0,6","17,9","0,4","1,32","13,3","0,32","1,62",13,"0,81",0
11,25/3/2014,Masculino,30/10/1994,"65,5","177,8","180,4","25,1","6,6","7,2","3,2","13,2","4,8",7,9,"5,6","56,1",30,"31,6","25,8",16,"90,8","73,6","90,3","51,2","47,8","36,5","21,5","40,8","28,4",5,"7,1","9,5",3,6,0,6,53,41,"0,24","0,21","1,69","1,53","0,62","1,89","0,66","21,1","0,57","15,9","0,54","14,5","0,63","19,2","0,63","19,6","0,24","2,3",14,"0,24","2,32","15,8","0,96",0
12,27/3/2014,Masculino,15/9/1994,"54,4","179,2","182,8","26,3","8,6","6,5","3,3",6,"4,1",8,"8,9",7,"54,1","23,2","25,1","23,9","15,4","81,6","67,2","82,6",45,"44,2",35,"21,5","37,2","28,3","5,1","6,9","9,4",-12,-1,,,38,6,"0,29","0,35","1,76","1,77","0,53","13,6","0,52","13,4","0,49","11,8","0,54","14,4","0,57",16,"0,57",16,"0,26","1,8","11,1","0,26","1,93","12,2","0,93",0
13,25/3/2014,Femenino,18/5/2000,"48,6",158,"155,2","22,6","18,8","12,4","6,8","31,8",17,"18,8",20,"9,8","54,5","24,2","25,4",23,"14,4","83,9",71,"90,2","50,3","45,9","32,2","20,2","32,4","26,5",5,"5,5","8,9",-15,-11,10,9,24,10,"0,3","0,25","1,62","1,65","0,52",13,"0,52",13,"0,54","14,3","0,52","13,2","0,54","14,2","0,54","14,5","0,28","1,59",10,"0,28","1,67","10,8","0,95",0
14,13/5/2004,Femenino,28/7/1993,"51,6","158,5","155,5","23,4","15,2",8,"6,6","14,2","8,6","15,4",18,11,"52,8","24,6","25,6","23,4","14,6","82,7","67,2","90,5","53,5",,"48,4","21,2","35,5","26,3","4,5",6,"8,3",-12,-5,"0,5","1,5",43,11,"0,35","0,4","1,77","1,78","0,57","15,8","0,57","16,1","0,58","16,4","0,58","16,5","0,54","14,1","0,6","17,4","0,24","1,83","9,1","0,24","1,91","10,5","0,95",1
15,,Femenino,6/5/2002,0,0,0,0,"13,2","6,2","7,8",15,"9,8","14,8","19,2","15,6","54,6","22,2",23,"20,9","13,9","74,6","61,5","80,9","45,2","40,4","29,6",20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,18/2/2015,Masculino,18/10/1993,"55,4","166,4","164,3",0,10,"7,6","4,2","14,2","5,1","13,4","9,7","6,2","54,2",29,"30,3","23,7",16,"89,6","71,2","86,3","51,3","47,8","33,8","21,7","36,6","24,5","4,7","6,3","9,1",11,10,0,0,52,27,"0,31","0,33","1,76","1,38","0,67",22,"0,67","21,2","0,65","20,8","0,66","21,4","0,65","20,4","0,65","20,7","0,32","1,56",12,"0,23","1,79","8,6","0,87",1
17,27/2/2015,Masculino,28/9/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,40,17,"0,42","0,27","1,89","1,69","0,6","17,7","0,62","17,4","0,52",13,"0,51","12,6","0,52",13,"0,51","12,6","0,25","1,91","11,5","0,25","1,75","9,6","1,09",0
18,,Masculino,29/12/2000,"52,2","165,3","161,4","25,4","9,2",6,4,"9,8","5,4",8,"14,2","10,8","56,7","25,1","27,3","23,6","15,7","80,6","73,2","82,6","48,7","44,8","33,4","20,5","34,1","25,8","5,4","6,7","9,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Masculino,21/5/1997,"79,9",183,"187,3","28,7",7,"10,4","3,2","11,8","6,1","8,3","8,2",7,"54,7","30,4","32,7","28,7","17,1","102,2","84,6","99,8","58,4","54,7","36,7","21,7","43,1","29,7","5,8","7,4","10,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,